group,totalCPM,sampEvent,seq
flagellate NA,0.7499062617172854,SJR2,flNA
diatom NA,0.652145558888744,WLD2,dtNA
unidentified rotifer,0.6355247440687511,YBP2,undntfdrt
chlorophyte colonial,0.5774547466853032,LSZ2,chlc
chlorophyte colonial,0.5683060109289617,SJR2,chlc
diatom NA,0.5543237250554324,LSZ2,dtNA
diatom chain,0.5368697891047997,SJR2,dtmch
cyanobacteria NA,0.5062608665771078,YBP1,cyNA
cyanobacteria other,0.4999375078115236,SJR2,cyno
chlorophyte other,0.49112405509217416,WLD2,chlo
diatom chain,0.4876266470007435,YBP1,dtmch
chlorophyte colonial,0.47123360100459333,SJR1,chlc
unidentified triangle,0.4565018912221208,WLD2,undt
diatom pennate fragillaria,0.43383947939262474,YBP2,dtpf
diatom egg shaped,0.43055993424629,YBP1,dtes
diatom chain,0.41686671823128574,WLD2,dtmch
unidentified NA,0.39174844883254833,LSZ2,unNA
unidentified rotifer,0.34791484913400555,WLD2,undntfdrt
chlorophyte other,0.26344676180021953,SJR1,chlo
diatom other,0.25270512102757925,YBP1,dtmo
diatom pennate pleurosigma,0.21460481182274554,LSZ2,dtpp
flagellate euglenid,0.20879732739420934,YBP1,flge
tintinnid hyaline,0.17645441026502234,WLD2,tnth
chlorophyte colonial,0.17640573318632854,YBP1,chlc
unidentified rotifer,0.14826776959052174,SJR1,undntfdrt
diatom other,0.1443001443001443,YBP2,dtmo
flagellate euglenid,0.1323529769684402,WLD2,flge
diatom pennate fragillaria,0.12736380855120794,LSZ2,dtpf
ciliate other,0.12567372135964056,WLD2,cltot
diatom chain,0.1224870801334485,SJR1,dtmch
ciliate oblong,0.11223939567412869,YBP1,cltob
diatom egg shaped,0.10936466626415034,WLD2,dtes
ciliate other,0.08820286659316427,YBP1,cltot
flagellate NA,0.08805790400864585,SJR1,flNA
tintinnid agglutinated,0.08733634863030433,SJR2,tnta
tintinnid hyaline,0.08632046563636091,YBP1,tnth
diatom pennate pleurosigma,0.07857928650007857,SJR1,dtpp
diatom NA,0.07448789571694599,YBP2,dtNA
ciliate other odd shape,0.07215007215007214,YBP2,coos
tintinnid hyaline,0.06249218847644045,SJR2,tnth
ciliate other odd shape,0.04609144542772861,WLD2,coos
diatom pennate fragillaria,0.04609144542772861,WLD2,dtpf
dinoflagellate peridinium,0.044101433296582136,YBP1,dnflglltprd
flagellate colonial,0.044101433296582136,YBP1,flglltcl
ciliate other odd shape,0.04390779363336992,SJR1,coos
ciliate oblong,0.0437636761487965,LSZ2,cltob
diatom pennate fragillaria,0.0437636761487965,SJR2,dtpf
chlorophyte other,0.04371584699453552,LSZ2,chlo
ciliate oblong,0.04371584699453552,SJR2,cltob
flagellate colonial,0.04362050163576881,SJR2,flglltcl
diatom other,0.043525571273122954,SJR2,dtmo
chlorophyte pediastrum,0.04017032216598377,LSZ2,chlp
chlorophyte actinastrum,0,LSZ2,chla
ciliate other,0,LSZ2,cltot
ciliate other odd shape,0,LSZ2,coos
cyanobacteria dolichospermum,0,LSZ2,cynd
cyanobacteria NA,0,LSZ2,cyNA
