"","samp_ev","exp","rep","grp_sz","counts"
"88","LSZ2","T24","2","chlorophyte colonial 24 24",0
"89","LSZ2","FC","3","chlorophyte colonial 24 24",0
"90","LSZ2","T24","3","chlorophyte colonial 24 24",0
"91","WLD2","FC","1","chlorophyte colonial 24 24",0
"92","WLD2","T24","1","chlorophyte colonial 24 24",0
"93","WLD2","FC","2","chlorophyte colonial 24 24",0
"94","WLD2","T24","2","chlorophyte colonial 24 24",0
"95","WLD2","FC","3","chlorophyte colonial 24 24",0
"96","WLD2","T24","3","chlorophyte colonial 24 24",0
"97","SJR1","FC","1","chlorophyte colonial 24 24",0
"98","SJR1","T24","1","chlorophyte colonial 24 24",0
"99","SJR1","FC","2","chlorophyte colonial 24 24",0
"100","SJR1","T24","2","chlorophyte colonial 24 24",0
"101","SJR1","FC","3","chlorophyte colonial 24 24",2
"102","SJR1","T24","3","chlorophyte colonial 24 24",0
"103","YBP2","FC","1","chlorophyte colonial 24 24",0
"104","YBP2","T24","1","chlorophyte colonial 24 24",0
"105","YBP2","FC","2","chlorophyte colonial 24 24",0
"106","YBP2","T24","2","chlorophyte colonial 24 24",0
"107","YBP2","FC","3","chlorophyte colonial 24 24",3
"108","YBP2","T24","3","chlorophyte colonial 24 24",0
"109","SJR2","FC","1","chlorophyte colonial 32 32",0
"110","SJR2","T24","1","chlorophyte colonial 32 32",0
"111","SJR2","FC","2","chlorophyte colonial 32 32",0
"112","SJR2","T24","2","chlorophyte colonial 32 32",0
"113","SJR2","FC","3","chlorophyte colonial 32 32",0
"114","SJR2","T24","3","chlorophyte colonial 32 32",0
"115","YBP1","FC","1","chlorophyte colonial 32 32",0
"116","YBP1","T24","1","chlorophyte colonial 32 32",0
"117","YBP1","FC","2","chlorophyte colonial 32 32",0
"118","YBP1","T24","2","chlorophyte colonial 32 32",0
"119","YBP1","FC","3","chlorophyte colonial 32 32",0
"120","YBP1","T24","3","chlorophyte colonial 32 32",0
"121","LSZ2","FC","1","chlorophyte colonial 32 32",1
"122","LSZ2","T24","1","chlorophyte colonial 32 32",0
"123","LSZ2","FC","2","chlorophyte colonial 32 32",0
"124","LSZ2","T24","2","chlorophyte colonial 32 32",0
"125","LSZ2","FC","3","chlorophyte colonial 32 32",0
"126","LSZ2","T24","3","chlorophyte colonial 32 32",0
"127","WLD2","FC","1","chlorophyte colonial 32 32",0
"128","WLD2","T24","1","chlorophyte colonial 32 32",0
"129","WLD2","FC","2","chlorophyte colonial 32 32",0
"130","WLD2","T24","2","chlorophyte colonial 32 32",0
"131","WLD2","FC","3","chlorophyte colonial 32 32",0
"132","WLD2","T24","3","chlorophyte colonial 32 32",0
"133","SJR1","FC","1","chlorophyte colonial 32 32",0
"134","SJR1","T24","1","chlorophyte colonial 32 32",0
"135","SJR1","FC","2","chlorophyte colonial 32 32",0
"136","SJR1","T24","2","chlorophyte colonial 32 32",1
"137","SJR1","FC","3","chlorophyte colonial 32 32",0
"138","SJR1","T24","3","chlorophyte colonial 32 32",0
"139","YBP2","FC","1","chlorophyte colonial 32 32",0
"140","YBP2","T24","1","chlorophyte colonial 32 32",0
"141","YBP2","FC","2","chlorophyte colonial 32 32",0
"142","YBP2","T24","2","chlorophyte colonial 32 32",0
"143","YBP2","FC","3","chlorophyte colonial 32 32",13
"144","YBP2","T24","3","chlorophyte colonial 32 32",0
"145","SJR2","FC","1","chlorophyte colonial 32 104",0
"146","SJR2","T24","1","chlorophyte colonial 32 104",0
"147","SJR2","FC","2","chlorophyte colonial 32 104",0
"148","SJR2","T24","2","chlorophyte colonial 32 104",0
"149","SJR2","FC","3","chlorophyte colonial 32 104",0
"150","SJR2","T24","3","chlorophyte colonial 32 104",0
"151","YBP1","FC","1","chlorophyte colonial 32 104",0
"152","YBP1","T24","1","chlorophyte colonial 32 104",0
"153","YBP1","FC","2","chlorophyte colonial 32 104",0
"154","YBP1","T24","2","chlorophyte colonial 32 104",0
"155","YBP1","FC","3","chlorophyte colonial 32 104",0
"156","YBP1","T24","3","chlorophyte colonial 32 104",0
"157","LSZ2","FC","1","chlorophyte colonial 32 104",0
"158","LSZ2","T24","1","chlorophyte colonial 32 104",0
"159","LSZ2","FC","2","chlorophyte colonial 32 104",0
"160","LSZ2","T24","2","chlorophyte colonial 32 104",0
"161","LSZ2","FC","3","chlorophyte colonial 32 104",0
"162","LSZ2","T24","3","chlorophyte colonial 32 104",0
"163","WLD2","FC","1","chlorophyte colonial 32 104",0
"164","WLD2","T24","1","chlorophyte colonial 32 104",0
"165","WLD2","FC","2","chlorophyte colonial 32 104",0
"166","WLD2","T24","2","chlorophyte colonial 32 104",0
"167","WLD2","FC","3","chlorophyte colonial 32 104",0
"168","WLD2","T24","3","chlorophyte colonial 32 104",0
"169","SJR1","FC","1","chlorophyte colonial 32 104",0
"170","SJR1","T24","1","chlorophyte colonial 32 104",0
"171","SJR1","FC","2","chlorophyte colonial 32 104",0
"172","SJR1","T24","2","chlorophyte colonial 32 104",0
"173","SJR1","FC","3","chlorophyte colonial 32 104",0
"174","SJR1","T24","3","chlorophyte colonial 32 104",0
"175","YBP2","FC","1","chlorophyte colonial 32 104",0
"176","YBP2","T24","1","chlorophyte colonial 32 104",0
"177","YBP2","FC","2","chlorophyte colonial 32 104",0
"178","YBP2","T24","2","chlorophyte colonial 32 104",0
"179","YBP2","FC","3","chlorophyte colonial 32 104",0
"180","YBP2","T24","3","chlorophyte colonial 32 104",0
"181","SJR2","FC","1","chlorophyte colonial 40 40",0
"182","SJR2","T24","1","chlorophyte colonial 40 40",0
"183","SJR2","FC","2","chlorophyte colonial 40 40",0
"184","SJR2","T24","2","chlorophyte colonial 40 40",0
"185","SJR2","FC","3","chlorophyte colonial 40 40",0
"186","SJR2","T24","3","chlorophyte colonial 40 40",0
"187","YBP1","FC","1","chlorophyte colonial 40 40",0
"188","YBP1","T24","1","chlorophyte colonial 40 40",0
"189","YBP1","FC","2","chlorophyte colonial 40 40",0
"190","YBP1","T24","2","chlorophyte colonial 40 40",0
"191","YBP1","FC","3","chlorophyte colonial 40 40",0
"192","YBP1","T24","3","chlorophyte colonial 40 40",0
"193","LSZ2","FC","1","chlorophyte colonial 40 40",0
"194","LSZ2","T24","1","chlorophyte colonial 40 40",0
"195","LSZ2","FC","2","chlorophyte colonial 40 40",0
"196","LSZ2","T24","2","chlorophyte colonial 40 40",0
"197","LSZ2","FC","3","chlorophyte colonial 40 40",0
"198","LSZ2","T24","3","chlorophyte colonial 40 40",0
"199","WLD2","FC","1","chlorophyte colonial 40 40",0
"200","WLD2","T24","1","chlorophyte colonial 40 40",0
"201","WLD2","FC","2","chlorophyte colonial 40 40",0
"202","WLD2","T24","2","chlorophyte colonial 40 40",0
"203","WLD2","FC","3","chlorophyte colonial 40 40",0
"204","WLD2","T24","3","chlorophyte colonial 40 40",0
"205","SJR1","FC","1","chlorophyte colonial 40 40",0
"206","SJR1","T24","1","chlorophyte colonial 40 40",0
"207","SJR1","FC","2","chlorophyte colonial 40 40",0
"208","SJR1","T24","2","chlorophyte colonial 40 40",0
"209","SJR1","FC","3","chlorophyte colonial 40 40",0
"210","SJR1","T24","3","chlorophyte colonial 40 40",0
"211","YBP2","FC","1","chlorophyte colonial 40 40",0
"212","YBP2","T24","1","chlorophyte colonial 40 40",0
"213","YBP2","FC","2","chlorophyte colonial 40 40",0
"214","YBP2","T24","2","chlorophyte colonial 40 40",0
"215","YBP2","FC","3","chlorophyte colonial 40 40",0
"216","YBP2","T24","3","chlorophyte colonial 40 40",0
"217","SJR2","FC","1","chlorophyte colonial 64 64",0
"218","SJR2","T24","1","chlorophyte colonial 64 64",0
"219","SJR2","FC","2","chlorophyte colonial 64 64",0
"220","SJR2","T24","2","chlorophyte colonial 64 64",0
"221","SJR2","FC","3","chlorophyte colonial 64 64",0
"222","SJR2","T24","3","chlorophyte colonial 64 64",0
"223","YBP1","FC","1","chlorophyte colonial 64 64",0
"224","YBP1","T24","1","chlorophyte colonial 64 64",0
"225","YBP1","FC","2","chlorophyte colonial 64 64",0
"226","YBP1","T24","2","chlorophyte colonial 64 64",0
"227","YBP1","FC","3","chlorophyte colonial 64 64",0
"228","YBP1","T24","3","chlorophyte colonial 64 64",0
"229","LSZ2","FC","1","chlorophyte colonial 64 64",0
"230","LSZ2","T24","1","chlorophyte colonial 64 64",0
"231","LSZ2","FC","2","chlorophyte colonial 64 64",0
"232","LSZ2","T24","2","chlorophyte colonial 64 64",0
"233","LSZ2","FC","3","chlorophyte colonial 64 64",0
"234","LSZ2","T24","3","chlorophyte colonial 64 64",0
"235","WLD2","FC","1","chlorophyte colonial 64 64",0
"236","WLD2","T24","1","chlorophyte colonial 64 64",0
"237","WLD2","FC","2","chlorophyte colonial 64 64",0
"238","WLD2","T24","2","chlorophyte colonial 64 64",0
"239","WLD2","FC","3","chlorophyte colonial 64 64",0
"240","WLD2","T24","3","chlorophyte colonial 64 64",0
"241","SJR1","FC","1","chlorophyte colonial 64 64",0
"242","SJR1","T24","1","chlorophyte colonial 64 64",0
"243","SJR1","FC","2","chlorophyte colonial 64 64",0
"244","SJR1","T24","2","chlorophyte colonial 64 64",0
