"","samp_date","samp_ev","exp","rep","Group","type","shp","sa","la","wi","counts","pres_fact","vol_set_ml","n_bugs","time_d","tot_vol_um3","vol_per_org_um3","tot_biomass_pgC","bio_per_vol_pgc_ml","bio_per_vol_ugl","counts_per_ml"
"26",2019-09-18,"YBP2","IC","1","chlorophyte","colonial","sph",64,64,NA,1,0.914,20,24,1,137254.229333333,137254.229333333,14407.5593375062,788.159701176486,0.788159701176486,0.0547045951859956
"27",2019-08-14,"WLD2","IC","1","chlorophyte","other","sph",16,16,NA,1,0.917,26,24,1,2144.59733333333,2144.59733333333,290.126515021648,12.1687155029632,0.0121687155029632,0.0419427900343931
"28",2019-09-17,"YBP2","site","N/A","chlorophyte","other","sph",16,16,NA,37,0.895,15,24,1,79350.1013333333,2144.59733333333,8612.4921729094,641.526418838689,0.641526418838689,2.756052141527
"29",2019-09-17,"YBP2","site","N/A","chlorophyte","pediastrum","prisell",16,16,16,1,0.895,15,24,1,3216.896,3216.896,424.558082919198,31.6244382062718,0.0316244382062718,0.074487895716946
"30",2019-09-19,"YBP2","FC","1","chlorophyte","pediastrum","prisell",16,16,16,6,0.914,5,24,1,19301.376,3216.896,2283.605801656,499.69492377593,0.49969492377593,1.31291028446389
"31",2019-09-19,"YBP2","FC","3","chlorophyte","pediastrum","prisell",16,16,16,1,0.924,15,24,1,3216.896,3216.896,424.558082919198,30.6318963145165,0.0306318963145165,0.0721500721500721
"32",2019-08-19,"LSZ2","IC","3","chlorophyte","pediastrum","prisell",40,40,40,1,0.922,27,24,1,50264,50264,5609.62872133124,225.340592967432,0.225340592967432,0.0401703221659838
"33",2019-09-18,"YBP2","IC","2","chlorophyte","pediastrum","prisell",40,40,40,3,0.912,17,24,1,150792,50264,15738.0520096149,1015.09623385029,1.01509623385029,0.193498452012384
"34",2019-09-05,"SJR2","FC","3","chlorophyte","scenedesmus","prosph",12,16,NA,1,0.918,25,24,1,1206.336,1206.336,169.025595222841,7.36494968291248,0.00736494968291248,0.0435729847494553
"35",2019-07-30,"YBP1","site","N/A","chlorophyte","scenedesmus","prosph",12,16,NA,1,0.898,16,24,1,1206.336,1206.336,169.025595222841,11.7640308479149,0.0117640308479149,0.0695991091314031
"36",2019-08-13,"WLD2","site","N/A","chlorophyte","scenedesmus","prosph",12,16,NA,1,0.902,17,24,1,1206.336,1206.336,169.025595222841,11.0229291263103,0.0110229291263103,0.0652145558888744
"37",2019-09-17,"YBP2","site","N/A","chlorophyte","scenedesmus","prosph",12,16,NA,11,0.895,15,24,1,13269.696,1206.336,1606.27612906905,119.648128794715,0.119648128794715,0.819366852886406
